Name,lon,lat,Controlofinstitution,Website,Acceptance_Rate,State_name,Highest_degree_offered,,Total_Matriculates
Brigham Young University-Idaho,-111.784728,43.815384,Private,http://www.byui.edu/,100,Idaho,Bachelor's degree,,3448
Brigham Young University-Provo,-111.649281,40.250851,Private,https://home.byu.edu/home/,49,Utah,Doctor's degree,,4427
Brown University,-71.404467,41.827605,Private,https://www.brown.edu/,9,Rhode Island,Doctor's degree,,1543
Bryan College-Dayton,-85.016596,35.495721,Private,http://www.bryan.edu/,38,Tennessee,Master's degree,,187
Bryant University,-71.539147,41.920149,Private,http://www.bryant.edu/,77,Rhode Island,Master's degree,,890
Bryn Athyn College of the New Church,-75.06093,40.131358,Private,http://www.brynathyn.edu/,52,Pennsylvania,Master's degree,,81
Bryn Mawr College,-75.314988,40.028541,Private,https://www.brynmawr.edu/,40,Pennsylvania,Doctor's degree,,365
Bucknell University,-76.886275,40.954489,Private,http://www.bucknell.edu/,30,Pennsylvania,Master's degree,,933
Buena Vista University,-95.208053,42.642529,Private,http://www.bvu.edu/,70,Iowa,Master's degree,,269
Buffalo State SUNY,-78.88067,42.934199,Public,http://suny.buffalostate.edu/,49,New York,Master's degree,,1324
Burlington College,-73.228181,44.49117,Private,https://www.burlington.edu/,83,Vermont,Master's degree,,45
Butler University,-86.171791,39.840662,Private,https://www.butler.edu/,66,Indiana,Doctor's degree,,1015
Cabrini College,-75.37215,40.054565,Private,http://www.cabrini.edu/,74,Pennsylvania,Master's degree,,304
Cairn University-Langhorne,-74.909509,40.165809,Private,https://cairn.edu/,51,Pennsylvania,Master's degree,,155
Caldwell College,-74.273697,40.834285,Private,https://www.caldwell.edu/,64,New Jersey,Doctor's degree,,330
California Baptist University,-117.42587,33.928569,Private,http://www.calbaptist.edu/,79,California,Master's degree,,993
California Institute of Technology,-118.12574,34.139275,Private,https://www.caltech.edu/,11,California,Doctor's degree,,249
California Lutheran University,-118.879467,34.225551,Private,http://www.callutheran.edu/,48,California,Doctor's degree,,540
California Maritime Academy,-122.231551,38.069061,Public,https://www.csum.edu/web/mycampus/home,75,California,Bachelor's degree,,198
California Polytechnic State University-San Luis Obispo,-120.65856,35.29889,Public,http://www.calpoly.edu/,31,California,Master's degree,,3635
California State Polytechnic University-Pomona,-117.819019,34.054273,Public,http://www.cpp.edu/,52,California,Doctor's degree,,3120
California State University-Bakersfield,-119.104711,35.350005,Public,http://www.csub.edu/,66,California,Master's degree,,1328
California State University-Channel Islands,-119.04356,34.162949,Public,http://www.csuci.edu/,64,California,Master's degree,,756
California State University-Chico,-121.846333,39.728003,Public,http://www.csuchico.edu/,72,California,Master's degree,,2714
